Task,Dataset Size,Model,Parameters,Train Acc,Valid Acc,Test Acc,Train-Test Gap
Cycle,500,AutoGraph,"84,450",97.14%,97.33%,90.67%,6.48%
Cycle,500,GIN,"34,054",95.43%,96.00%,88.00%,7.43%
Cycle,500,GPS,"29,157",98.29%,98.67%,90.67%,7.62%
Cycle,500,graph-token,"117,410",99.49%,99.60%,100.00%,-0.51%
Cycle,5000,AutoGraph,"84,450",97.14%,97.33%,90.67%,6.48%
Cycle,5000,GIN,"34,054",95.43%,96.00%,88.00%,7.43%
Cycle,5000,GPS,"29,157",98.29%,98.67%,90.67%,7.62%
Cycle,5000,graph-token,"117,410",99.49%,99.60%,100.00%,-0.51%
Shortest Path,500,AutoGraph,"84,747",99.71%,66.67%,45.21%,54.50%
Shortest Path,500,GIN,"34,767",70.18%,70.67%,63.01%,7.16%
Shortest Path,500,graph-token,"117,963",97.14%,97.33%,97.20%,-0.06%
Shortest Path,5000,AutoGraph,"84,747",99.71%,66.67%,45.21%,54.50%
Shortest Path,5000,GIN,"34,767",70.18%,70.67%,63.01%,7.16%
Shortest Path,5000,graph-token,"117,963",97.14%,97.33%,97.20%,-0.06%
