task,model,timestamp,params,device,hidden_dim,num_layers,batch_size,lr,epochs_run,best_epoch,total_time_s,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss,train_val_gap,train_test_gap,overfitting,_source
cycle,GIN,20251119_070401,34054,cuda,64,4,8,0.001,8,2,3.5191423892974854,0.9514285714285714,0.12607640968369585,0.9866666666666667,0.1043144221107165,0.8933333333333333,0.25295468151569367,-0.03523809523809529,0.05809523809523809,False,cycle_GIN_20251119_070401.json
cycle,GIN,20251119_065019,34054,cuda,64,4,8,0.001,1,1,4.0008134841918945,0.9965714285714286,0.008825024447469852,0.9986666666666667,0.004627686071703162,1.0,0.004916090531444449,-0.00209523809523815,-0.0034285714285714475,False,cycle_GIN_20251119_065019.json
shortest_path,GIN,20251119_064919,34767,cuda,64,4,8,0.001,100,71,47.658621311187744,0.6228070175438597,0.7785944638893618,0.7466666666666667,0.7398740577697754,0.5342465753424658,1.1015432472914866,-0.123859649122807,0.08856044220139392,False,shortest_path_GIN_20251119_064919.json
cycle,GCN,20251119_070822,12738,cuda,64,4,8,0.001,50,37,21.173787832260132,0.8857142857142857,0.28993187831980843,0.8666666666666667,0.3629782873392105,0.8266666666666667,0.4037273727357388,0.01904761904761898,0.059047619047619015,False,cycle_GCN_20251119_070822.json
cycle,GIN,20251119_064752,34054,cuda,64,4,8,0.001,18,5,7.1162731647491455,0.9514285714285714,0.10852633365562984,0.9866666666666667,0.08676237523555756,0.8933333333333333,0.23761279781659445,-0.03523809523809529,0.05809523809523809,False,cycle_GIN_20251119_064752.json
shortest_path,GIN,20251119_070910,34767,cuda,64,4,8,0.001,50,19,21.313175201416016,0.5994152046783626,0.8517216562527662,0.6666666666666666,0.7931138634681701,0.5205479452054794,1.1192435491574955,-0.067251461988304,0.0788672594728832,False,shortest_path_GIN_20251119_070910.json
shortest_path,GIN,20251119_070650,34767,cuda,64,4,8,0.001,50,15,27.83022117614746,0.5818713450292398,0.8672960867658693,0.6,0.87637238184611,0.5068493150684932,1.2312830662074155,-0.018128654970760216,0.07502202996074658,False,shortest_path_GIN_20251119_070650.json
cycle,GAT,20251119_070845,13250,cuda,64,4,8,0.001,31,21,19.428398847579956,0.9628571428571429,0.0910510862033282,0.96,0.11444431034227212,0.9333333333333333,0.2122133042414983,0.0028571428571428914,0.029523809523809508,False,cycle_GAT_20251119_070845.json
shortest_path,GIN,20251119_065235,34767,cuda,64,4,8,0.001,15,13,66.98378872871399,0.9582857142857143,0.1385559904123932,0.9626666666666667,0.16051553969079396,0.9413333333333334,0.1975135417060616,-0.004380952380952374,0.01695238095238094,False,shortest_path_GIN_20251119_065235.json
cycle,GCN,20251119_070602,12738,cuda,64,4,8,0.001,50,36,21.192559719085693,0.8771428571428571,0.4393783272084381,0.8533333333333334,0.5288514049723745,0.7866666666666666,0.6668196414783597,0.023809523809523725,0.09047619047619049,False,cycle_GCN_20251119_070602.json
cycle,GIN,20251119_070047,34054,cuda,64,4,8,0.001,18,2,9.13890790939331,0.9628571428571429,0.09719031641020723,0.9866666666666667,0.07745446423689524,0.9066666666666666,0.21079361230134963,-0.023809523809523836,0.056190476190476235,False,cycle_GIN_20251119_070047.json
shortest_path,GCN,20251119_070936,13451,cuda,64,4,8,0.001,50,47,21.91992712020874,0.7953216374269005,0.5105401887531169,0.84,0.4000827920436859,0.7808219178082192,0.6187008070210888,-0.04467836257309943,0.01449971961868135,False,shortest_path_GCN_20251119_070936.json
cycle,GIN,20251119_070537,34054,cuda,64,4,8,0.001,10,2,4.390537261962891,0.9514285714285714,0.10766528533933784,0.9866666666666667,0.0771084862202406,0.8933333333333333,0.25248383144537606,-0.03523809523809529,0.05809523809523809,False,cycle_GIN_20251119_070537.json
shortest_path,GAT,20251119_070751,13963,cuda,64,4,8,0.001,50,49,30.950947523117065,0.9122807017543859,0.2356699586393889,0.9333333333333333,0.20252605860431988,0.7945205479452054,0.46039257271670614,-0.021052631578947434,0.11776015380918048,False,shortest_path_GAT_20251119_070751.json
shortest_path,GAT,20251119_071011,13963,cuda,64,4,8,0.001,50,31,31.61379647254944,0.6637426900584795,0.6589881537253397,0.6933333333333334,0.6181875987847646,0.5616438356164384,0.9559877418900189,-0.029590643274853834,0.10209885444204114,False,shortest_path_GAT_20251119_071011.json
shortest_path,GCN,20251119_070716,13451,cuda,64,4,8,0.001,50,37,22.364615440368652,0.7456140350877193,0.5449766286632471,0.84,0.42090399205684664,0.7397260273972602,0.7410762204903446,-0.09438596491228068,0.005888007690459052,False,shortest_path_GCN_20251119_070716.json
cycle,GAT,20251119_070618,13250,cuda,64,4,8,0.001,21,12,12.920452356338501,0.96,0.10608096958138048,0.96,0.12642353994150957,0.9066666666666666,0.25437977199753126,0.0,0.053333333333333344,False,cycle_GAT_20251119_070618.json
cycle,GIN,20251119_070758,34054,cuda,64,4,8,0.001,8,3,3.3851659297943115,0.9657142857142857,0.0998199988262994,0.9866666666666667,0.07721013978123664,0.9066666666666666,0.22464489430189133,-0.020952380952380945,0.059047619047619126,False,cycle_GIN_20251119_070758.json
